aerodactyl (RY)KS|RNS
alakazam (C)CC|XCO
arbok (P)PK|KPP
arcanine (F)KF|GFF
articuno (IY)I|III
beedrill (BP)BP|YPB
blastoise (W)KW|SPWI
butterfree (BY)BC|BCB
chansey (N)NC|XCC
charizard (FY)FY|DFF
clefable (X)NC|XXC
cloyster (WI)II|IWI
dewgong (WI)II|WII
ditto (N)N|N
dodrio (NY)KS|YYY
dragonite (DY)DS|DDN
dugtrio (G)GK|GGR
electabuzz (E)TE|EEE
electrode (E)EN|ENE
exeggutor (AC)CC|CAA
farfetch'd (NY)-B|YYA
fearow (NY)YS|YGD
flareon (F)F|FFF
gengar (OP)OK|KOP
golbat (PY)KY|YOP
golduck (W)CC|PWIC
golem (RG)GR|RGR
gyarados (WY)KD|DWD
hitmonchan (T)ST|TFIE
hitmonlee (T)TT|TNR
hypno (C)CC|CCO
jolteon (E)E|EEE
jynx (IC)IN|XIC
kabutops (RW)BG|RRW
kangaskhan (N)TG|TGN
kingler (W)SG|NWB
lapras (WI)II|IDI
lickitung (N)OC|NAN
machamp (T)ST|TRT
magmar (F)FT|FFF
magneton (ES)EE|ESS
marowak (G)GT|GGG
mew (C)N|DGFYNXCAE
mewtwo (C)CC|NCO
moltres (FY)F|FFF
mr. mime (CX)CC|CCO
muk (P)PP|KPP
nidoking (PG)BP|GBP
nidoqueen (PG)KP|GPR
ninetales (F)FN|FFF
omastar (RW)RW|RWR
onix (RG)RN|SRR
parasect (BA)BB|PAB
persian (N)KN|KXR
pidgeot (NY)SY|YYY
pinsir (B)BT|TNB
poliwrath (WT)WG|WIT
porygon (N)NN|ECB
primeape (T)TT|TTK
raichu (E)EE|TEE
rapidash (F)FT|GFF
raticate (N)KN|GNN
rhydon (GR)GT|GBR
sandslash (G)SG|GGR
scyther (BY)BS|BKB
seadra (W)DW|IDW
seaking (W)YP|GIB
slowbro (WC)CW|ICW
snorlax (N)OC|NGN
starmie (WC)NW|WRC
tangela (A)A|APA
tauros (N)NC|GNS
tentacruel (WP)PP|IWP
vaporeon (W)W|WWW
venomoth (BP)BC|BPC
venusaur (AP)AA|APA
victreebel (AP)PA|APA
vileplume (AP)PA|XAA
weezing (P)PN|KOP
wigglytuff (NX)KN|XNX
zapdos (EY)E|EEE
