Aerodactyl (RY)KS|RNS
Alakazam (C)CC|XCO
Arbok (P)PK|KPP
Arcanine (F)KF|GFF
Articuno (IY)I|III
Beedrill (BP)BP|YPB
Blastoise (W)KW|SPWI
Butterfree (BY)BC|BCB
Chansey (N)NC|XCC
Charizard (FY)FY|DFF
Clefable (X)NC|XXC
Cloyster (WI)II|IWI
Dewgong (WI)II|WII
Ditto (N)N|N
Dodrio (NY)KS|YYY
Dragonite (DY)DS|DDN
Dugtrio (G)GK|GGR
Electabuzz (E)TE|EEE
Electrode (E)EN|ENE
Exeggutor (AC)CC|CAA
Farfetch'd (NY)NB|YYA
Fearow (NY)YS|YGD
Flareon (F)F|FFF
Gengar (OP)OK|KOP
Golbat (PY)KY|YOP
Golduck (W)CC|PWIC
Golem (RG)GR|RGR
Gyarados (WY)KD|DWD
Hitmonchan (T)ST|TFIE
Hitmonlee (T)TT|TNR
Hypno (C)CC|CCO
Jolteon (E)E|EEE
Jynx (IC)IN|XIC
Kabutops (RW)BG|RRW
Kangaskhan (N)TG|TGN
Kingler (W)SG|NWB
Lapras (WI)II|IDI
Lickitung (N)OC|NAN
Machamp (T)ST|TRT
Magmar (F)FT|FFF
Magneton (ES)EE|ESS
Marowak (G)GT|GGG
Mew (C)N|DGFYNXCAE
Mewtwo (C)CC|NCO
Moltres (FY)F|FFF
Mr. Mime (CX)CC|CCO
Muk (P)PP|KPP
Nidoking (PG)BP|GBP
Nidoqueen (PG)KP|GPR
Ninetales (F)FN|FFF
Omastar (RW)RW|RWR
Onix (RG)RN|SRR
Parasect (BA)BB|PAB
Persian (N)KN|KXR
Pidgeot (NY)SY|YYY
Pinsir (B)BT|TNB
Poliwrath (WT)WG|WIT
Porygon (N)NN|ECB
Primeape (T)TT|TTK
Raichu (E)EE|TEE
Rapidash (F)FT|GFF
Raticate (N)KN|GNN
Rhydon (GR)GT|GBR
Sandslash (G)SG|GGR
Scyther (BY)BS|BKB
Seadra (W)DW|IDW
Seaking (W)YP|GIB
Slowbro (WC)CW|ICW
Snorlax (N)OC|NGN
Starmie (WC)NW|WRC
Tangela (A)A|APA
Tauros (N)NC|GNS
Tentacruel (WP)PP|IWP
Vaporeon (W)W|WWW
Venomoth (BP)BC|BPC
Venusaur (AP)AA|APA
Victreebel (AP)PA|APA
Vileplume (AP)PA|XAA
Weezing (P)PN|KOP
Wigglytuff (NX)KN|XNX
Zapdos (EY)E|EEE
